epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,6539,0.31589,0.4568,0.82647,0.99869,0.7907,0.79612,0.75556,0.31273,0.39927,0.85614,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,6692.45,0.31549,0.46058,0.82392,0.99882,0.7907,0.7971,0.7558,0.30125,0.41645,0.8515,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,6848.8,0.31712,0.45239,0.81594,0.99884,0.7907,0.79708,0.75938,0.32537,0.40876,0.85155,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,7005.41,0.30896,0.44221,0.81717,0.99867,0.7907,0.79708,0.75978,0.31017,0.38896,0.85128,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,7154.1,0.31251,0.44335,0.81805,0.99861,0.7907,0.79716,0.76193,0.30751,0.3827,0.8523,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,7310.14,0.28811,0.43336,0.81457,0.99851,0.7907,0.79724,0.75685,0.31503,0.38499,0.85312,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,7465.83,0.29433,0.43073,0.80867,0.99851,0.7907,0.79946,0.75507,0.30725,0.38141,0.85334,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,7620.29,0.30187,0.44356,0.82239,0.99858,0.7907,0.7973,0.75678,0.3082,0.37594,0.85379,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,7767.16,0.29527,0.4231,0.81344,0.99863,0.7907,0.79733,0.75681,0.30887,0.37925,0.85407,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,7922.05,0.30505,0.43264,0.81447,0.99863,0.7907,0.79739,0.75666,0.30572,0.37468,0.85375,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
